Seller,Number of products,Minimum price,Maximum price,Average price,Median price
Goldmaster,11882,1.0,2500.0,12.24,3.0
SmanShop,4614,1.0,35.0,5.24,5.0
JOKER*,1700,1.0,500.0,13.72,6.0
Goodnik7,1505,1.0,15.0,5.06,7.0
IMMORTAL,4484,0.5,1600.0,14.48,7.0
Mikasa,3811,1.0,200.0,8.22,5.0
PINK MAN,1850,1.0,1000.0,14.35,5.0
DANTE,2644,0.5,490.0,8.38,3.0
Dark Shop,1444,1.0,350.0,6.5,1.0
LACOSTE,2124,1.0,500.0,8.23,8.0
Radikula Store,776,0.5,350.0,13.41,6.0
C_Reative,2569,1.0,2000.0,13.13,10.0
Hurricane,1254,0.5,700.0,7.83,4.0
FULL INFO,3550,1.0,80.0,3.74,4.0
D.B. Cooper,441,1.0,300.0,19.04,5.0
QuestionMark,857,1.0,650.0,26.45,5.0
BANKBOSS,2583,1.0,670.0,16.64,10.0
*NERO*,1229,1.0,1000.0,12.81,1.0
Carsh,92,3.5,75.0,10.14,3.5
makataO,833,1.0,1000.0,10.51,1.0
The Best Banks,641,0.5,80.0,11.12,10.0
bussman shop,9,80.0,1200.0,430.0,150.0
DUTY FREE,229,2.0,250.0,62.47,10.0
PHILO STORE,770,1.0,550.0,122.22,18.0
Ninja Secret's,421,7.0,50.0,8.8,7.0
Aqua Man,590,0.2,1900.0,310.68,15.0
PROMETHEUS,315,1.0,60.0,6.62,1.0
BestLink,588,3.0,250.0,10.21,6.0
Spamking,7,7.0,7.0,7.0,7.0
Bloody,3,150.0,200.0,183.33,200.0
